business_name,category_searched,address,phone,website,email,lead_score
#1 Buffet Chinese Buffet Restaurant,restaurant,,,,,5
#2 B.B.Q.,restaurant,,,,,5
#9 Noodles & Beer,restaurant,,,,,5
& Waffles,restaurant,4141 Lankershim Boulevard North Hollywood CA 91602,,,,5
&Waffles,restaurant,21028 Ventura Boulevard,,,,5
(abeautifullife) Jamaican,restaurant,,,,,5
1 2 3 Pho,restaurant,,,,,5
1001 Nights,restaurant,"1827,1829 South Brand Boulevard",,,,5
111 Points,hairdresser,,,,,5
11|11,hairdresser,11112 Balboa Boulevard Granada Hills CA 91344,,,,5
123 Pho Torrance,restaurant,,,,,5
17th Street Cafe,restaurant,,,,,5
18-8 Men Salon,hairdresser,,,,,5
18th Street Cafe,restaurant,1725 Broadway,,,,5
18|8 Fine Men's Salon,hairdresser,,,,,5
2 Die For Sushi,restaurant,,,,,5
23rd Street Cafe,restaurant,,,,,5
25 Degrees,restaurant,,,,,5
310 Legends,hairdresser,Redondo Beach Boulevard,,,,5
3355 Asian Grill,restaurant,,,,,5
555 East American Steakhouse,restaurant,,,,,5
5i Indochine,restaurant,,,,,5
7 Days Hair Tech,hairdresser,,,,,5
800 Degrees,restaurant,,,,,5
92KBBQ AYCE,restaurant,,,,,5
94th Aero Squadron Restaurant [Closed],restaurant,,,,,5
9th St Ramen,restaurant,,,,,5
A Bus Stop Cafe,restaurant,4705 Santa Monica Boulevard Los Angeles 90029-2615,,,,5
A Food Affair,restaurant,,,,,5
A La Couch,restaurant,,,,,5
A T Tramp,hairdresser,,,,,5
A Votre Sante,restaurant,,,,,5
A la Diabla,restaurant,913 San Fernando Road San Fernando CA 91340,,,,5
A&W Seafood,restaurant,,,,,5
A&W Seafood Restaurant,restaurant,,,,,5
A.O.C.,restaurant,,,,,5
AJ's Tex-Mex & BBQ,restaurant,,,,,5
AL DENTE · Pasta Shop,restaurant,,,,,5
AOC,restaurant,8700 West 3rd Street 90048,,,,5
APC Hair Salon,hairdresser,,,,,5
Abba's,restaurant,,,,,5
Abbot's Pizza Company,restaurant,1407 Abbot Kinney Boulevard,,,,5
Abernethy's,restaurant,,,,,5
Abhiruchi Grill,restaurant,,,,,5
Abigaile,restaurant,,,,,5
Abuelita's Restaurante,restaurant,16060 Saticoy Street Los Angeles CA,,,,5
Aburiya Raku,restaurant,,,,,5
Academy of Beauty,hairdresser,,,,,5
Active Barbers,hairdresser,,,,,5
Adagio,restaurant,,,,,5
