business_name,category_searched,address,phone,website,email,lead_score
3 Mien,restaurant,,,,,5
5 Tacos & Beers,restaurant,,,,,5
A&A Tasty,restaurant,,,,,5
Adamo's,restaurant,,,,,5
Aioli Bodega Espanola,restaurant,,,,,5
Altos Cantina,restaurant,,,,,5
Arthur Henry's,restaurant,3406 Broadway Sacramento CA 95817,,,,5
Asian Cafe,restaurant,2827 Norwood Avenue Sacramento CA 95815,,,,5
Athony's Italian Cuisine,restaurant,,,,,5
Aviators,restaurant,6151 Freeport Boulevard 95822,,,,5
Azurkar Sushi,restaurant,,,,,5
BJ's,restaurant,,,,,5
Baan Noodles And Rice,restaurant,,,,,5
Bangkok City Thai Cuisine,restaurant,1620 West El Camino Avenue Sacramento CA 95833,,,,5
Bangkok Garden,restaurant,2069 Arena Boulevard Sacramento CA 95834,,,,5
Bear West BBQ & Soul Food,restaurant,5901 Watt Avenue North Highlands CA 95660,,,,5
Bella Bru Cafe,restaurant,,,,,5
Bento Box,restaurant,1420 65th Street Sacramento CA 95819,,,,5
Beto's Taqueria,restaurant,,,,,5
Black Bear Diner,restaurant,,,,,5
Blaze BBQ,restaurant,,,,,5
Blue House Korean BBQ,restaurant,1032 Howe Avenue Sacramento CA 95825,,,,5
Bonchon - Korean Fried Chicken,restaurant,1600 Ethan Way Sacramento CA 95825,,,,5
Boon Boon Cafe,restaurant,3022 Stockton Boulevard Sacramento CA,,,,5
Brasserie Du Monde,restaurant,,,,,5
Brick Oven Pizza,restaurant,1801 L Street Sacramento 95811,,,,5
Buca di Beppo,restaurant,1249 Howe Avenue Sacramento CA 95825,,,,5
Buffalo Pizza,restaurant,,,,,5
Buffalo Wild Wings,restaurant,3600 North Freeway Boulevard Sacramento CA 95834,,,,5
Buffalo Wild Wings,restaurant,,,,,5
Bullta,restaurant,,,,,5
Burgers and Brew,restaurant,1409 R Street Sacramento CA 95811,,,,5
Burgers and Brew,restaurant,317 3rd Street,,,,5
CAP’s Pizza and Tap House,restaurant,8760 La Riviera Drive Sacramento CA 96826,,,,5
CJ Teriyaki,restaurant,,,,,5
Caballo Blanco,restaurant,,,,,5
Cafe Bernardo,restaurant,2730 Capitol Avenue,,,,5
Cafe Dantorelles,restaurant,,,,,5
Cafe Europa,restaurant,1537 Howe Avenue Sacramento 95825,,,,5
Cafe Rio,restaurant,,,,,5
Cafe Rolle,restaurant,5357 H Street Sacramento 95819,,,,5
Cafeteria 15L,restaurant,,,,,5
Café Connection,restaurant,1007 L Street,,,,5
California Pizza Kitchen,restaurant,,,,,5
California Street Tacos,restaurant,,,,,5
Capital Dime,restaurant,1801 L Street Sacramento 95811,,,,5
Capitol Garage,restaurant,,,,,5
Captain Crab Boiling Seafood,restaurant,1785 Challenge Way Sacramento 95815,,,,5
Carol's,restaurant,1201 West Capitol Avenue West Sacramento CA 95691,,,,5
Casa,restaurant,,,,,5
Casa Flores,restaurant,8304 Delta Shores Circle South,,,,5
Cervecería at the Shack,restaurant,,,,,5
Chada Thai Cusine,restaurant,1624 Broadway,,,,5
Chan's Restaurant,restaurant,3116 Stockton Boulevard Sacramento CA 95820,,,,5
Chando's Tacos,restaurant,2530 Boatman Avenue West Sacramento CA 95691,,,,5
Cheesesteaks,restaurant,,,,,5
Chef Frank Japanese Cuisine,restaurant,2281 Del Paso Road Sacramento CA 95835,,,,5
Chevys,restaurant,,,,,5
Chhun's Supermarket,restaurant,,,,,5
Chicha,restaurant,1501 16th Street,,,,5
Chicken & Waffle,restaurant,2961 Advantage Way Sacramento 95834,,,,5
Chili's,restaurant,,,,,5
Chili's,restaurant,3870 Truxel Road Sacramento CA 95834,,,,5
China Buffet,restaurant,1402 Broadway Sacramento CA 95818,,,,5
Chopsticks Express,restaurant,6381 ri Sacramento CA 95831,,,,5
Chuck E. Cheese,restaurant,,,,,5
Chów at SacYard,restaurant,1725 33rd Street Sacramento 95816,,,,5
Club Pheasant,restaurant,,,,,5
